source_row,program,degree_confer_date,outcome_raw,outcome_report,known_outcome,positive_outcome,employer_raw,employer_report,role_raw,role_report,school_raw,school_report,degree_raw,degree_report,location_raw,state_raw,state_report,has_linkedin,has_li_lookup_date,has_survey_timestamp,has_interaction,has_doc_review_signal,cleanup_flags
571,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T571,2)",,True,True,True,False,False,
572,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,False,False,
573,MS,2026-05-01 00:00:00,Working,Working,True,True,Attentive.ai,Attentive.ai,AI Research Scientist,AI Research Scientist,,,,,"San Jose, CA",CA,CA,True,False,True,True,True,
574,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Advisor360,Advisor360,Analyst 1,Analyst 1,,,,,,"=RIGHT(T574,2)",,False,False,True,False,False,working_missing_state
575,Undergraduate,2026-05-01 00:00:00,Continuing Ed,Continuing Education,True,True,,,,,University of Massachusetts Amherst,UMass Amherst,MSMS,MS,,"=RIGHT(T575,2)",,True,False,True,True,True,
576,Undergraduate,2026-05-01 00:00:00,Continuing Ed,Continuing Education,True,True,,,,,UMass CICS,UMass Amherst,MSMS,MS,,"=RIGHT(T576,2)",,False,False,True,False,False,
577,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Fidelity,Fidelity Investments,Cloud Engineer,Cloud Engineer,,,,,,"=RIGHT(T577,2)",,True,False,True,True,False,working_missing_state
578,Undergraduate,2026-02-01 00:00:00,Working,Working,True,True,PRODATA,PRODATA,AI engineer,AI Engineer,,,,,"Baku,Azerbaijan",Int'l,INT'L,True,False,True,True,False,
579,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,False,
580,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T580,2)",,True,False,True,True,True,
581,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,False,False,
582,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Eltropy,Eltropy,AI Implementation Manager,AI Implementation Manager,,,,,"Santa Clara, CA",CA,CA,True,False,True,True,False,
583,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Dell,Dell,Software Engineer,Software Engineer,,,,,,"=RIGHT(T583,2)",,True,False,True,False,False,working_missing_state
584,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Walmart Global Tech,Walmart Global Tech,Software Engineer,Software Engineer,,,,,"Bentonville, AR",AR,AR,True,False,True,False,False,
585,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,FactSet,FactSet,Software Engineer,Software Engineer,,,,,"Norwalk, CT",CT,CT,True,False,True,True,False,
586,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Big Bark Publishing,Big Bark Publishing,Freelance Analyst,Freelance Analyst,,,,,,"=RIGHT(T586,2)",,True,False,True,False,False,working_missing_state
587,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Susquehanna International Group,Susquehanna International Group,Quantitative Trader,Quantitative Trader,,,,,"Philadelphia, PA",PA,PA,True,False,True,True,False,
588,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
589,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,IBM,IBM,Software Engineer,Software Engineer,,,,,"Lowell, MA",MA,MA,True,False,True,True,True,
590,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,True,False,
591,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,IBM,IBM,Entry Level Software Developer,Entry Level Software Developer,,,,,,"=RIGHT(T591,2)",,True,True,True,False,False,working_missing_state
592,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T592,2)",,True,True,True,True,False,
593,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Travelers,Travelers,Data Analytics Consultant,Data Analytics Consultant,,,,,,"=RIGHT(T593,2)",,True,False,True,True,True,working_missing_state
594,Undergraduate,2026-05-01 00:00:00,Working,Working,True,True,Epsilon,Epsilon,Software Engineer,Software Engineer,,,,,"Boston, MA",MA,MA,False,False,True,True,False,
595,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
596,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,False,False,
597,Undergraduate,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T597,2)",,True,True,True,True,True,
